path,sim,f_best_depth,f_best_duration,f_best_initial,f_bls_num_actual,f_bls_num_expect,f_bls_num_ratio,f_bls_period_1st,f_bls_period_2nd,f_bls_period_3rd,f_bls_power_1st,f_bls_power_2nd,f_bls_power_3rd,f_bls_snr,f_bls_trans_shape_fac,f_dens,f_density_ratio,f_dur_per_ratio,f_goodness_flag,f_lc_hi_1perc,f_lc_hi_5perc,f_lc_kurt,f_lc_lo_1perc,f_lc_lo_5perc,f_lc_mad,f_lc_rms,f_lc_skew,f_logg,f_lum,f_mag,f_mass,f_period_ratio_21,f_period_ratio_31,f_points_in_transit_ratio,f_radius,f_teff,c_R,c_S,c_T,c_planet_a,c_planet_i,c_planet_r,c_teq,c_xeff
PSLS/data/example.hdf5,run_00001,0.0006630146624804763,0.5,85.57969189814816,4,4,1.0,343.1253125312531,686.2331233123311,171.53815381538152,4.1980696274421536e-05,2.2472984856306158e-05,1.999566740621102e-05,0.009156452533640301,0.502879088057045,1.242484227648593,841338001494330.5,0.0014571935725507228,True,1.000460759191594,1.0003255984804604,0.22975364257459452,0.9995245167593386,0.9996693938186348,0.00019876078453123747,0.00020069508318341394,-0.07066715885870996,4.49044,0.8468,11.6351,0.932447,1.999948993124273,0.4999285903739824,0.9873389462854335,0.90875,5807.1,1.1820067281650114e-38,0.9595105828690713,0.955678989311936,0.9370938201449579,89.96114742587535,2.5533499876127324,252.24946976016065,0.5971307112545893
PSLS/data/example.hdf5,run_00002,0.0005651495901548659,0.5,115.32969189814816,3,3,1.0,462.9037903790379,231.46064606460644,696.142614261426,2.2996372266159327e-05,1.1438377617220251e-05,8.473396488695e-06,0.006778106957063666,0.577773489554801,0.8891974836978072,2886536832888643.5,0.0010801380554490312,True,1.0002563588921514,1.0001807159727027,0.7934538525146784,0.9997383350210642,0.9998180089642483,0.00011023293057228493,0.00011175050738330594,-0.157932125821198,4.42862,1.52762,10.2346,1.18782,0.500018904306401,1.5038602593670836,1.0088026123445015,1.10133,6113.38,3.461067003343562e-78,0.9881341697843556,0.9648083596278457,1.2402727997760599,89.85535555834764,2.856955890933891,254.11002510398922,0.5741595940025701
PSLS/data/example.hdf5,run_00004,0.00011623990230433324,0.5,107.57969189814816,4,4,1.0,431.2466246624662,120.12851285128512,189.76097609760976,1.195786767563303e-06,1.0450800747774866e-06,8.434119628640182e-07,0.0015454377494367572,0.22289831260760182,1.0531172791917127,1970622812410289.5,0.0011594293645575697,True,1.0003094079820665,1.000217900842087,0.009887771666849066,0.999692204068273,0.9997819674138593,0.00013178649166483515,0.00013232958657814151,0.003569032590254557,4.44401,0.916424,10.8742,0.941818,0.2785610506408227,0.44002889586935173,1.1506638510556628,0.963452,5752.35,0.9952503525706178,0.7605117399997022,0.9999996603297815,1.0949962999305642,89.88754018905945,1.1334752931505792,238.00950459571592,0.08353008513944789
PSLS/data/example.hdf5,run_00006,0.00015809293805092297,1.5,79.07969189814816,3,3,1.0,573.9033903390339,62.33423342334233,100.3095309530953,5.39856944529976e-06,4.440457732880827e-06,4.162270423750423e-06,0.0032805669178476095,0.13153400074460633,1.062069537786325,170570048187590.16,0.0026136803253834656,False,1.0007899540042748,1.0005594409244662,-0.00557402959419484,0.9992051179861456,0.9994379588542569,0.0003409934617341876,0.00034082726020121537,-0.0070384955509947295,4.46117,0.987411,12.711,1.04256,0.10861450633096685,0.17478469833369928,1.2431837206139673,0.993839,5770.35,0.7694506772254402,0.5231164993095786,0.9716230274175611,1.3704590504042982,,1.3635674572017658,216.75415147696523,-0.5536054550284057
PSLS/data/example.hdf5,run_00008,3.139169159537744e-05,1.5,98.20469189814816,9,9,1.0,150.92109210921092,302.09070907090705,38.52485248524852,6.375785808888811e-07,5.989937037035878e-07,5.469000127078373e-07,0.0011237210387298384,0.06816844106681821,0.8823997236479753,3733565784984.862,0.009938968629477954,False,1.0002679477404672,1.0001884590119197,0.011339676094925366,0.9997326886714918,0.9998106131430622,0.00011467460255154267,0.00011481129240341142,-0.001854838825592585,4.42366,1.45271,10.36,1.16556,2.0016467204749975,0.2552648668707672,0.9793253912107365,1.09721,6048.34,0.83849924430949,4.240770539901331,0.0,0.5838276886316301,,0.6708130054681668,365.7455184041418,9.025261257847648
PSLS/data/example.hdf5,run_00009,0.0002433153758260735,0.5,49.45469189814815,8,8,1.0,196.94369436943694,393.9363936393639,590.8625862586258,1.136685544576961e-05,5.840844593872283e-06,4.610226363321255e-06,0.0047610682397275375,0.4190839222372375,1.0973919288830087,180122347029693.34,0.002538796693140501,False,1.000172322987753,1.0001221504578643,0.6314430360373433,0.9998232802002711,0.9998787435131375,7.372096935417908e-05,7.502859352297546e-05,-0.15442209006083543,4.46141,0.934517,9.52041,0.978132,2.000248826958624,3.0001599601876863,1.1448683629177467,0.962377,5783.76,0.08320268759931312,2.150241575029597,0.0,0.6576079571685992,,1.6380772152989072,308.6310621054175,3.772164014934543
PSLS/data/example.hdf5,run_00011,0.00041625459614544054,0.5,104.82969189814816,4,4,1.0,419.67446744674464,209.84598459845984,139.8809880988099,1.6547083381565462e-05,8.644732037080076e-06,5.7297770016021435e-06,0.0057486023330652,0.5140147139514335,0.9012926270553632,2122144456699421.5,0.001191399617522475,True,1.0002567906433986,1.0001806885254343,0.33194683992053253,0.9997342414181477,0.9998154171115493,0.00011057891729680287,0.00011179167835881523,-0.08720112205413749,4.40801,1.17638,10.3107,1.00273,0.5000208515784645,0.333308311439176,1.2111695024194649,1.03619,5904.11,9.947140605841228e-20,0.9708839036381568,0.9560601229029375,1.098018232909216,89.85894006413572,2.306870816551841,252.99366409484546,0.5962521387974133
PSLS/data/example.hdf5,run_00012,0.0027307407182822446,0.125,272.51719189814816,1,1,1.0,607.5557555755576,609.6839683968396,568.050805080508,4.474166922290777e-05,4.474166922290777e-05,3.699001585061273e-05,0.009459136633630173,0.7061678921644727,0.7980752561204587,4.653692296172542e+17,0.00020574243409410777,True,1.0011136287462925,1.0007859531912142,0.18419869643477726,0.9988740370555784,0.9992065051717851,0.00047931511694088803,0.00048105277325418333,-0.0107765942050118,4.38542,1.68289,12.778,1.0941,1.003502909488967,0.9349772426110502,0.43927190787022025,1.11089,6236.11,0.0,0.8001802015669762,0.9999999640020429,1.4466038476702745,89.78780820596154,6.334548239208187,241.05423737464344,0.057461855230442005
PSLS/data/example.hdf5,run_00016,0.00010267346158602932,1.5,100.95469189814816,4,4,1.0,422.00220022002196,430.31553155315527,258.3958395839584,3.030778917791629e-06,2.8235957573061094e-06,2.806596101137919e-06,0.002456687037403145,0.10755295108860757,0.867870955626907,82990493119545.39,0.003554483837330553,False,1.0006702248786494,1.0004728101900344,0.011406821946053913,0.9993251613784472,0.999523179925755,0.00028756810222192074,0.00028863944699438263,-0.0033050344898866717,4.41607,1.68943,12.1483,1.1433,1.0196997345719974,0.6123092236230923,1.2197832538695077,1.09623,6283.79,0.9701046081290955,1.2681591043634053,0.03183748885188509,1.1513385906261282,,1.2120907654577293,270.4651141346178,1.2290678926890617
PSLS/data/example.hdf5,run_00017,0.00013286748186092294,0.5,102.95469189814816,4,4,1.0,411.36113611361134,218.8908890889089,674.3284328432843,1.6947617026620177e-06,1.5309821848884048e-06,1.5198819944982745e-06,0.0018397303471508752,0.1873672845416538,0.97228842826082,1852583437780683.8,0.001215477000875231,True,1.0005228984368448,1.0003678986359577,0.008788114734616936,0.9994774321218295,0.9996309347222729,0.0002239203396836307,0.00022416062984622137,0.000975534520132833,4.44413,1.30887,11.7953,1.10582,0.5321136827773997,1.6392614023144998,1.195600032301141,1.04383,6041.52,0.8660169868342682,1.0393630257539141,0.8595046627864789,1.1193953613081924,89.87609763940151,1.3129357801224635,257.3413859109062,0.7300520896361264
